Time,Soil(%),Temp(C),Humidity(%),Motor,Rain,PIR
0:11:24,40,30.6,86.7,Off,No,Found
0:11:25,40,30.6,86.8,Off,No,Found
0:11:26,40,30.6,86.7,Off,No,Found
0:11:27,40,30.6,86.6,Off,No,Found
0:11:28,40,30.6,86.7,Off,No,Found
0:11:29,40,30.6,86.2,Off,No,Found
0:11:30,40,30.6,86.2,Off,No,Found
0:11:31,40,30.6,86.6,Off,No,Found
0:11:32,40,30.6,86.4,Off,No,Found
0:11:33,40,30.6,86.6,Off,No,Found
0:11:34,40,30.6,86.6,Off,No,Found
0:11:35,40,30.6,86.6,Off,No,Found
0:11:36,40,30.6,86.7,Off,No,Found
0:11:37,40,30.6,86.8,Off,No,Found
0:11:38,40,30.6,87,Off,No,Found
0:11:39,40,30.6,86.9,Off,No,Found
0:11:40,40,30.6,86.9,Off,No,Found
0:11:41,40,30.6,87.1,Off,No,Found
0:11:42,40,30.5,86.9,Off,No,Found
0:11:43,40,30.5,86.8,Off,No,Found
0:11:44,40,30.5,86.8,Off,No,Found
0:11:45,40,30.5,86.9,Off,No,Found
0:11:46,40,30.5,87,Off,No,Found
0:11:47,40,30.5,87.1,Off,No,Found
0:11:48,40,30.5,87.4,Off,No,Found
0:11:49,40,30.5,87.4,Off,No,Found
0:11:50,40,30.5,87.3,Off,No,Found
0:11:51,40,30.5,87,Off,No,Found
0:11:52,40,30.5,87.1,Off,No,Found
0:11:53,40,30.5,87.1,Off,No,Found
0:11:54,40,30.5,87.2,Off,No,Found
0:11:55,40,30.5,87.3,Off,No,Found
0:11:56,40,30.5,87.4,Off,No,Found
0:11:57,40,30.5,87.4,Off,No,Found
0:11:58,40,30.6,87.2,Off,No,Found
0:11:59,40,30.6,87.1,Off,No,Found
0:12:00,40,30.6,86.9,Off,No,Found
0:12:01,40,30.6,86.9,Off,No,Found
0:12:02,40,30.5,86.7,Off,No,Found
0:12:03,40,30.6,86.9,Off,No,Found
0:12:04,40,30.6,86.9,Off,No,Found
0:12:05,40,30.6,86.9,Off,No,Found
0:12:06,40,30.6,86.8,Off,No,Found
0:12:07,40,30.6,86.7,Off,No,Found
0:12:08,40,30.6,86.7,Off,No,Found
0:12:09,40,30.6,86.8,Off,No,Found
0:12:10,40,30.6,86.8,Off,No,Found
0:12:11,40,30.6,86.8,Off,No,Found
0:12:12,40,30.6,86.8,Off,No,Found
0:12:13,40,30.6,86.9,Off,No,Found
0:12:14,40,30.6,86.9,Off,No,Found
0:12:15,39,30.6,87.1,Off,No,Found
0:12:16,39,30.6,86.9,Off,No,Found
0:12:17,40,30.6,87.3,Off,No,Found
0:12:18,40,30.6,87.4,Off,No,Found
0:12:19,39,30.6,87.4,Off,No,Found
0:12:20,39,30.6,87.3,Off,No,Found
0:12:21,40,30.6,87.3,Off,No,Found
0:12:22,39,30.6,87.2,Off,No,Found
0:12:23,39,30.6,87.1,Off,No,Found
0:12:24,39,30.6,87.1,Off,No,Found
0:12:25,39,30.6,87,Off,No,Found
0:12:26,40,30.6,86.9,Off,No,Found
0:12:27,39,30.6,86.8,Off,No,Found
0:12:28,39,30.6,86.7,Off,No,Found
0:12:29,40,30.6,86.7,Off,No,Found
0:12:30,39,30.6,86.8,Off,No,Found
0:12:31,39,30.6,86.9,Off,No,Found
0:12:32,40,30.7,86.9,Off,No,Found
0:12:33,40,30.6,86.9,Off,No,Found
0:12:34,39,30.6,86.9,Off,No,Found
0:12:35,39,30.7,86.6,Off,No,Found
0:12:36,39,30.7,86.6,Off,No,Found
0:12:37,39,30.7,86.7,Off,No,Found
0:12:38,39,30.6,86.8,Off,No,Found
0:12:39,39,30.7,87,Off,No,Found
0:12:40,39,30.7,87,Off,No,Found
0:12:41,39,30.7,87,Off,No,Found
0:12:42,40,30.7,86.8,Off,No,Found
0:12:43,39,30.7,87,Off,No,Found
0:12:44,39,30.7,86.9,Off,No,Found
0:12:45,39,30.7,86.6,Off,No,Found
0:12:46,39,30.7,86.7,Off,No,Found
0:12:47,39,30.7,86.7,Off,No,Found
0:12:48,39,30.7,86.6,Off,No,Found
0:12:49,39,30.7,86.6,Off,No,Found
0:12:50,39,30.7,86.4,Off,No,Found
0:12:51,39,30.7,86.4,Off,No,Found
0:12:52,39,30.7,86.4,Off,No,Found
0:12:53,39,30.7,86.3,Off,No,Found
0:12:54,39,30.7,86.4,Off,No,Found
0:12:55,39,30.7,86.4,Off,No,Found
0:12:56,39,30.7,86.5,Off,No,Found
0:12:57,39,30.7,86.5,Off,No,Found
0:12:58,39,30.7,86.3,Off,No,Found
0:12:59,39,30.7,86.3,Off,No,Found
0:13:00,39,30.7,86,Off,No,Found
0:13:01,39,30.7,86.1,Off,No,Found
0:13:02,39,30.7,86.1,Off,No,Found
0:13:03,39,30.7,86.2,Off,No,Found
0:13:04,39,30.7,86,Off,No,Found
0:13:05,39,30.7,85.9,Off,No,Found
0:13:06,39,30.7,86,Off,No,Found
0:13:07,39,30.7,85.8,Off,No,Found
0:13:08,39,30.7,85.9,Off,No,Found
0:13:09,39,30.7,85.9,Off,No,Found
0:13:10,39,30.7,85.9,Off,No,Found
0:13:11,39,30.7,85.9,Off,No,Found
0:13:12,39,30.7,86.1,Off,No,Found
0:13:13,39,30.7,86,Off,No,Found
0:13:14,39,30.7,86.1,Off,No,Found
0:13:15,39,30.8,86,Off,No,Found
0:13:16,39,30.7,86.1,Off,No,Found
0:13:17,39,30.7,86.2,Off,No,Found
0:13:18,39,30.7,86.2,Off,No,Found
0:13:19,39,30.7,86.4,Off,No,Found
0:13:20,39,30.7,86.7,Off,No,Found
0:13:21,39,30.7,86.7,Off,No,Found
0:13:22,39,30.7,86.5,Off,No,Found
0:13:23,39,30.7,86.4,Off,No,Found
0:13:24,39,30.6,86.3,Off,No,Found
0:13:25,39,30.6,86.4,Off,No,Found
0:13:26,39,30.7,86.2,Off,No,Found
0:13:27,39,30.7,86.4,Off,No,Found
0:13:28,39,30.6,86.3,Off,No,Found
0:13:29,39,30.6,86.3,Off,No,Found
0:13:30,39,30.6,86.5,Off,No,Found
0:13:31,39,30.6,86.6,Off,No,Found
0:13:32,39,30.6,86.4,Off,No,Found
0:13:33,39,30.6,86.8,Off,No,Found
0:13:34,39,30.6,86.9,Off,No,Found
0:13:35,39,30.6,86.8,Off,No,Found
0:13:36,39,30.6,86.7,Off,No,Found
0:13:37,39,30.6,86.5,Off,No,Found
0:13:38,39,30.6,86.5,Off,No,Found
0:13:39,39,30.6,86.4,Off,No,Found
0:13:40,39,30.6,86.5,Off,No,Found
0:13:41,39,30.6,86.4,Off,No,Found
0:13:42,39,30.6,86.3,Off,No,Found
0:13:43,39,30.6,85.9,Off,No,Found
0:13:44,39,30.6,86,Off,No,Found
0:13:45,39,30.6,86,Off,No,Found
0:13:46,39,30.6,86.2,Off,No,Found
0:13:47,39,30.6,86.3,Off,No,Found
0:13:48,39,30.6,86,Off,No,Found
0:13:49,39,30.6,85.7,Off,No,Found
0:13:50,39,30.6,85.5,Off,No,Found
0:13:51,39,30.6,85.3,Off,No,Found
0:13:52,39,30.6,85.4,Off,No,Found
0:13:53,39,30.6,85.4,Off,No,Found
0:13:54,39,30.6,85.7,Off,No,Found
0:13:55,39,30.6,85.4,Off,No,Found
0:13:56,39,30.6,85.5,Off,No,Found
0:13:57,39,30.6,85.6,Off,No,Found
0:13:58,39,30.6,85.6,Off,No,Found
0:13:59,39,30.7,85.7,Off,No,Found
0:14:00,39,30.7,85.5,Off,No,Found
0:14:01,39,30.7,85.8,Off,No,Found
0:14:02,39,30.7,86,Off,No,Found
0:14:03,39,30.7,86,Off,No,Found
0:14:04,39,30.7,86,Off,No,Found
0:14:05,39,30.6,86.1,Off,No,Found
0:14:06,39,30.6,86.2,Off,No,Found
0:14:07,39,30.6,86.2,Off,No,Found
0:14:08,39,30.6,86.2,Off,No,Found
0:14:09,39,30.6,86,Off,No,Found
0:14:10,39,30.6,86.4,Off,No,Found
0:14:11,39,30.6,86.3,Off,No,Found
0:14:12,39,30.6,86.3,Off,No,Found
0:14:13,39,30.6,86.2,Off,No,Found
0:14:14,39,30.6,86,Off,No,Found
0:14:15,39,30.6,86.1,Off,No,Found
0:14:16,39,30.6,86,Off,No,Found
0:14:17,39,30.6,86.3,Off,No,Found
0:14:18,39,30.6,86.2,Off,No,Found
0:14:19,39,30.6,86.1,Off,No,Found
0:14:20,39,30.6,86.2,Off,No,Found
0:14:21,39,30.6,86.1,Off,No,Found
0:14:22,39,30.6,86,Off,No,Found
0:14:23,39,30.6,86.1,Off,No,Found
0:14:24,39,30.6,86.1,Off,No,Found
0:14:25,39,30.6,86.1,Off,No,Found
0:14:26,39,30.6,86.2,Off,No,Found
0:14:27,39,30.6,86,Off,No,Found
